"recording time (s): [0.01 ,35]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1_44",NA,NA,NA,NA
"D2_11","1842","52.6196711870449","0.0187398153177621","0.040986216179406"
"D2_12","2378","67.9313670373468","0.014508708456037","0.0394342104770599"
"D2_13","2124","60.6754514664948","0.0162441073951955","0.0339841871929111"
"D2_14","864","24.6815395795911","0.0399323290845886","0.0818736791942386"
"D2_21","819","23.3960427264874","0.0421532518337408","0.0746506537624453"
"D2_22","4","0.114266386942551","1.67645333333333","1.34332010501345"
"D2_23","5","0.142832983678189","6.84884","2.24795907293705"
"D2_24",NA,NA,NA,NA
"D2_31","336","9.59837650317432","0.102764179104478","0.138530745126694"
"D2_32","18","0.514198741241481","1.74726588235294","1.45457675032576"
"D2_33","632","18.0540891369231","0.0545929635499208","0.102237773424768"
"D2_34","752","21.4820807451997","0.0459025299600533","0.0838964951734623"
"D2_41","637","18.1969221206013","0.0541612578616352","0.0893373561053582"
"D2_42","1254","35.8225123064899","0.0275255546687949","0.0537171210483366"
"D2_43","68","1.94252857802337","0.513418507462687","0.576837739543258"
"D2_44","876","25.0243387404188","0.0394165942857143","0.0764320493047772"
"D3_11","1","0.0285665967356379","NaN",NA
"D3_12","43","1.22836365963243","0.786700952380952","0.702222174458703"
"D3_13","2432","69.4739632610713","0.0141939284245167","0.0342838367031445"
"D3_14","1090","31.1375904418453","0.0316503213957759","0.0602854736245439"
"D3_21","1760","50.2772102547226","0.0196060488914156","0.0446944457361156"
"D3_22","916","26.1670026098443","0.0376740546448087","0.0774516001649751"
"D3_23","620","17.7112899760955","0.0556588045234249","0.0914644585889858"
"D3_24","400","11.4266386942551","0.0862782957393484","0.123901402692011"
"D3_31","1892","54.0480010238268","0.0182361924907456","0.0372088273860155"
"D3_32","1798","51.3627409306769","0.0191881135225376","0.040241149935921"
"D3_33","1658","47.3634173876876","0.0208230778515389","0.0475513955604687"
"D3_34","76","2.17106135190848","0.452933333333333","0.305704631397134"
"D3_41","2084","59.5327875970693","0.0165552376380221","0.0403519534203765"
"D3_42","102","2.91379286703506","0.330864158415842","0.339591205543569"
"D3_43","883","25.2243049175682","0.0390675736961451","0.0681207170040016"
